X is an expression that indicates Y
nod:agreement, friendliness:wink, frown:anger, tears:sadness, friendliness:wink, tears:sadness
crying:sadness, growl:danger, anger:slap, cough:sickness, anger:slap, crying:sadness
yell:anger, punch:hatred, sigh:exhaustion, discourse:relationship, punch:hatred, sigh:exhaustion
handshake:cordiality, grimace:disgust, tears:sorrow, frown:anger, handshake:cordiality, tears:sorrow
yawn:boredom, nod:agreement, friendliness:wink, sigh:exhaustion, friendliness:wink, yawn:boredom
kiss:love, wink:friendliness, frown:anger, exhaustion:sigh, exhaustion:sigh, frown:anger
scream:terror, kiss:passion, wave:acknowledgment, laughter:amusement, kiss:passion, wave:acknowledgment
crying:sadness, friendliness:wink, snarl:anger, cough:illness, friendliness:wink, snarl:anger
yawn:boredom, tear:sadness, frown:distaste, hilarity:laugh, hilarity:laugh, yawn:boredom
tears:sadness, exhaustion:sigh, laugh:hilarity, discourse:relationship, discourse:relationship, tears:sadness
frown:discontent, hilarity:laugh, sorrow:tears, glare:anger, sorrow:tears, frown:discontent
laugh:happiness, cough:sickness, tear:sadness, laughter:amusement, cough:sickness, laughter:amusement
discourse:relationship, cough:sickness, anger:slap, slap:anger, anger:slap, cough:sickness
burp:gas, wave:acknowledgement, hilarity:laugh, nod:agreement, burp:gas, nod:agreement
groan:pain, hilarity:laugh, lie:dishonesty, laughter:amusement, hilarity:laugh, laughter:amusement
tears:sorrow, exhaustion:sigh, burp:gas, yawn:boredom, exhaustion:sigh, tears:sorrow
cough:sickness, laugh:amusement, growl:danger, punch:hatred, punch:hatred, laugh:amusement
yawn:boredom, growl:danger, glare:anger, handshake:cordiality, handshake:cordiality, growl:danger
yell:anger, anger:slap, laugh:amusement, laugh:happiness, anger:slap, yell:anger
lie:dishonesty, wave:acknowledgment, glare:anger, frown:discontent, wave:acknowledgment, frown:discontent
slap:anger, cough:sickness, frown:anger, hilarity:laugh, slap:anger, frown:anger
grimace:disgust, laugh:amusement, snarl:anger, frown:sadness, laugh:amusement, grimace:disgust
wave:acknowledgement, tears:sorrow, groan:pain, wink:friendliness, wink:friendliness, groan:pain
punch:hatred, wave:acknowledgement, kiss:passion, sigh:exhaustion, punch:hatred, sigh:exhaustion
frown:discontent, kiss:love, growl:danger, anger:slap, anger:slap, growl:danger
sigh:exhaustion, frown:discontent, laugh:amusement, lie:dishonesty, lie:dishonesty, laugh:amusement
crying:sadness, growl:danger, cough:sickness, frown:sadness, frown:sadness, crying:sadness
sorrow:tears, laugh:happiness, wink:friendliness, anger:slap, anger:slap, wink:friendliness
scream:terror, kiss:passion, punch:hatred, friendliness:wink, friendliness:wink, scream:terror
slap:anger, wave:acknowledgment, frown:sadness, lie:dishonesty, slap:anger, frown:sadness
laugh:amusement, growl:danger, frown:discontent, friendliness:wink, friendliness:wink, growl:danger
laugh:happiness, anger:slap, wink:friendliness, cough:illness, anger:slap, laugh:happiness
snarl:anger, crying:sadness, scream:terror, nod:agreement, nod:agreement, scream:terror
glare:anger, wave:acknowledgment, nod:agreement, kiss:passion, kiss:passion, glare:anger
frown:distaste, sigh:exhaustion, lie:dishonesty, cough:illness, lie:dishonesty, sigh:exhaustion
hilarity:laugh laugh:hilarity anger:slap frown:discontent, laugh:hilarity, hilarity:laugh
tears:sadness, yawn:boredom, grimace:disgust, wink:friendliness, wink:friendliness, tears:sadness
laugh:amusement, groan:pain, slap:anger, sigh:exhaustion, slap:anger, laugh:amusement
groan:pain, sorrow:tears, wave:acknowledgment, glare:anger, sorrow:tears, groan:pain
slap:anger, tear:sadness, tears:sorrow, crying:sadness, slap:anger, crying:sadness
cough:illness, wave:acknowledgment, frown:distaste, hilarity:laugh, cough:illness, frown:distaste
snarl:anger, crying:sadness, frown:discontent, tears:sorrow, snarl:anger, tears:sorrow
slap:anger, frown:distaste, yell:anger, snarl:anger, slap:anger, yell:anger
exhaustion:sigh, glare:anger, crying:sadness, tears:sadness, glare:anger, crying:sadness
tears:sorrow, friendliness:wink, punch:hatred, frown:sadness, friendliness:wink, tears:sorrow
grimace:disgust, sigh:exhaustion, burp:gas, yawn:boredom,  burp:gas, sigh:exhaustion
punch:hatred, cough:illness, laugh:hilarity, wink:friendliness, punch:hatred, laugh:hilarity
tears:sadness, anger:slap, scream:terror, slap:anger, anger:slap, tears:sadness
anger:slap, handshake:cordiality, friendliness:wink, frown:sadness, anger:slap, handshake:cordiality
laugh:hilarity, tear:sadness, exhaustion:sigh, lie:dishonesty, exhaustion:sigh, tear:sadness
frown:sadness, glare:anger, frown:distaste, nod:agreement, frown:distaste, nod:agreement
wave:acknowledgment, crying:sadness, yell:anger, kiss:passion, wave:acknowledgment, yell:anger
laugh:amusement, groan:pain, frown:distaste, tears:sadness, frown:distaste, tears:sadness
yell:anger, discourse:relationship, frown:distaste, kiss:love, discourse:relationship, yell:anger
scream:terror, nod:agreement, burp:gas, frown:sadness, burp:gas, scream:terror
growl:danger, handshake:cordiality, exhaustion:sigh, punch:hatred, exhaustion:sigh, growl:danger
exhaustion:sigh, kiss:love, anger:slap, wave:acknowledgement, anger:slap, kiss:love
slap:anger, lie:dishonesty, handshake:cordiality, laugh:happiness, slap:anger, laugh:happiness
yawn:boredom, handshake:cordiality, discourse:relationship, exhaustion:sigh, exhaustion:sigh, yawn:boredom
burp:gas, grimace:disgust, nod:agreement, growl:danger, burp:gas, nod:agreement
tears:sorrow, handshake:cordiality, groan:pain, sorrow:tears, sorrow:tears, groan:pain
