a Y is a part of an X
bedroom:bed, computer:chip, dance:step, foot:toe, dance:step, computer:chip
hand:finger, motor:boat, flashlight:bulb, finger:hand, motor:boat, flashlight:bulb
egg:yolk, foot:toe, bouquet:flower, hand:finger, egg:yolk, hand:finger
tastebuds:tongue, zebra:stripes, tree:branch, cat:whiskers, zebra:stripes, tree:branch
remote:buttons, toe:foot, recipe:ingredient, ear:lobes, recipe:ingredient, toe:foot
freezer:ice, book:page, bouquet:flower, flashlight:bulb, freezer:ice, bouquet:flower
egg:yolk, building:wall, house:room, movie:scene, movie:scene, egg:yolk
building:wall, dance:step, dog:tail, tree:branch, dance:step, tree:branch
bird:feathers, movie:scene, building:wall, bunch:grape, bunch:grape, bird:feathers
shoe:sole, eye:lashes, act:play, recipe:ingredient, act:play, shoe:sole
cat:whiskers, bird:feathers, toe:foot, finger:hand, bird:feathers, toe:foot
book:page, house:room, zebra:stripes, book:spine, zebra:stripes, book:spine
remote:buttons, zebra:stripes, dance:step, bookcase:shelf, dance:step, bookcase:shelf
jeans:zipper, lips:mouth, fin:fish, tree:branch, tree:branch, jeans:zipper
bedroom:bed, lips:mouth, motor:boat, house:room, motor:boat, lips:mouth
bunch:grape, motor:boat, fish:fin, dog:tail, motor:boat, fish:fin
dog:tail, computer:mouse, toe:foot, dance:step, computer:mouse, toe:foot
book:page, building:wall, house:room, bottle:water, bottle:water, house:room
city:block, movie:scene, remote:buttons, building:floor, city:block, remote:buttons
freezer:ice, building:floor, bookcase:shelf, recipe:ingredient, freezer:ice, recipe:ingredient
bicycle:wheel, jeans:zipper, computer:chip, eye:lashes, jeans:zipper, bicycle:wheel
hand:finger, finger:hand, bird:wings, building:wall, finger:hand, bird:wings
city:block, book:spine, house:room, lips:mouth, city:block, lips:mouth
ear:lobes, boat:motor, egg:yolk, building:floor, boat:motor, egg:yolk
play:act, bicycle:wheel, act:play, boat:motor, act:play, bicycle:wheel
lips:mouth, eye:lashes, motor:boat, bird:wings, motor:boat, lips:mouth
city:block, house:room, act:play, eye:lashes, act:play, house:room
finger:hand, tastebuds:tongue, dance:step, dog:tail, dance:step, finger:hand
lips:mouth, house:room, ear:lobes, boat:motor, boat:motor, lips:mouth
movie:scene, foot:toe, tastebuds:tongue, computer:chip, movie:scene, computer:chip
freezer:ice, jeans:zipper, computer:mouse, fin:fish, computer:mouse, fin:fish
ear:lobes, remote:buttons, zebra:stripes, boat:motor, zebra:stripes, ear:lobes
tastebuds:tongue, dog:tail, clock:hand, recipe:ingredient, recipe:ingredient, tastebuds:tongue
toe:foot, motor:boat, bedroom:bed, freezer:ice, motor:boat, toe:foot
zebra:stripes, fin:fish, bouquet:flower, jeans:zipper, bouquet:flower, zebra:stripes
computer:mouse, recipe:ingredient, flashlight:bulb, building:floor, computer:mouse, building:floor
bunch:grape, bird:wings, motor:boat, fish:fin, motor:boat, bird:wings
fin:fish, dance:step, movie:scene, flashlight:bulb, dance:step, fin:fish
act:play, book:spine, bicycle:wheel, bottle:water, act:play, bicycle:wheel
ear:lobes, book:spine, movie:scene, act:play, movie:scene, ear:lobes
clock:hand, shoe:sole, building:floor, dance:step, dance:step, building:floor
city:block, bicycle:wheel, bookcase:shelf, bottle:water, bottle:water, bicycle:wheel
dance:step, jeans:zipper, boat:motor, eye:lashes, dance:step, eye:lashes
hand:finger, act:play, flashlight:bulb, bird:wings, act:play, hand:finger
clock:hand, freezer:ice, motor:boat, foot:toe, motor:boat, foot:toe
recipe:ingredient, tastebuds:tongue, computer:chip, bookcase:shelf, tastebuds:tongue, computer:chip
finger:hand, building:wall, bottle:water, bouquet:flower, bottle:water, finger:hand
bird:feathers, clock:hand, fin:fish, recipe:ingredient, clock:hand, recipe:ingredient
computer:mouse, house:room, play:act, book:page, play:act, book:page
fin:fish, play:act, egg:yolk, tastebuds:tongue, play:act, fin:fish
egg:yolk, book:page, play:act, tree:branch, book:page, tree:branch
bouquet:flower, tree:branch, ear:lobes, bird:feathers, bouquet:flower, ear:lobes
lips:mouth, jeans:zipper, city:block, shoe:sole, city:block, lips:mouth
foot:toe, bunch:grape, play:act, ear:lobes, play:act, ear:lobes
tree:branch, cat:whiskers, bicycle:wheel, bottle:water, bottle:water, bicycle:wheel
flashlight:bulb, eye:lashes, house:room, bicycle:wheel, eye:lashes, house:room
computer:chip, eye:lashes, computer:mouse, bouquet:flower, computer:mouse, bouquet:flower
cat:whiskers, freezer:ice, lips:mouth, bird:feathers, freezer:ice, lips:mouth
city:block, finger:hand, bicycle:wheel, bookcase:shelf, bicycle:wheel, finger:hand
eye:lashes, bird:wings, building:wall, bird:feathers, bird:wings, building:wall
recipe:ingredient, building:wall, zebra:stripes, finger:hand, zebra:stripes, finger:hand
hand:finger, clock:hand, computer:mouse, remote:buttons, computer:mouse, hand:finger
clock:hand, shoe:sole, finger:hand, lips:mouth, clock:hand, finger:hand
tree:branch, fish:fin, foot:toe, bird:feathers, bird:feathers, tree:branch
computer:chip, egg:yolk, book:spine, dog:tail, computer:chip, egg:yolk
city:block, play:act, fish:fin, remote:buttons, play:act, fish:fin
toe:foot, bookcase:shelf, fish:fin, boat:motor, bookcase:shelf, toe:foot
bedroom:bed, house:room, bunch:grape, recipe:ingredient, bedroom:bed, recipe:ingredient
book:page, fin:fish, bookcase:shelf, play:act, fin:fish, book:page
city:block, bouquet:flower, boat:motor, building:floor, boat:motor, bouquet:flower
bedroom:bed, toe:foot, bird:wings, tastebuds:tongue, bird:wings, tastebuds:tongue
finger:hand, bedroom:bed, bird:feathers, book:page, bird:feathers, finger:hand
book:page, clock:hand, flashlight:bulb, bouquet:flower, clock:hand, bouquet:flower
cat:whiskers, eye:lashes, toe:foot, city:block, city:block, toe:foot
computer:chip, book:spine, cat:whiskers, freezer:ice, freezer:ice, computer:chip
jeans:zipper, tree:branch, bird:wings, bird:feathers, bird:wings, jeans:zipper
book:spine, dance:step, eye:lashes, dog:tail, dance:step, book:spine
bird:wings, flashlight:bulb, shoe:sole, jeans:zipper, jeans:zipper, bird:wings
book:page, dog:tail, tastebuds:tongue, remote:buttons, dog:tail, book:page
play:act, bedroom:bed, act:play, fin:fish, act:play, fin:fish
boat:motor, clock:hand, cat:whiskers, hand:finger, boat:motor, hand:finger
