X is made of / is comprised of Y
house:bricks, lawn:grass, sock:thread, meal:food, meal:food, house:bricks
bread:flour, wall:bricks, evidence:case, box:cardboard, evidence:case, bread:flour
church:believers, desk:wood, omelette:eggs, sock:thread, church:believers, omelette:eggs
headstone:marble, yogurt:milk, atmosphere:gas, lawn:grass, yogurt:milk, atmosphere:gas
cacophony:howls, desk:wood, meal:courses, body:flesh, cacophony:howls, desk:wood
plastic:polymer, body:flesh, roof:shingles, atmosphere:gas, body:flesh, plastic:polymer
parrot:bird, cacophony:howls, food:meal, desk:wood, parrot:bird, desk:wood
wig:hair, wall:plaster, house:bricks, team:players, team:players, house:bricks
ice:water, sweater:wool, wire:metal, yogurt:milk, yogurt:milk, ice:water
omelette:eggs, wire:metal, wall:bricks, water:ocean, water:ocean, wall:bricks
meal:food, case:evidence, lawn:grass, headstone:marble, case:evidence, lawn:grass
evidence:case, house:bricks, cocktail:alcohol, clothing:thread, evidence:case, house:bricks
roof:shingles, yogurt:milk, meal:courses, plastic:polymer, yogurt:milk, roof:shingles
ice:water, sweater:wool, glass:silicone, body:flesh, glass:silicone, ice:water
wall:plaster, case:evidence, bread:flour, ocean:water, case:evidence, bread:flour
alcohol:wine, clothing:thread, evidence:case, ocean:water, alcohol:wine, ocean:water
wall:bricks, water:ocean, house:bricks, meal:courses, water:ocean, wall:bricks
cocktail:alcohol, garden:flowers, table:wood, roof:shingles, garden:flowers, table:wood
water:ocean, money:paper, box:cardboard, body:flesh, water:ocean, box:cardboard
desk:wood, wine:alcohol, cacophony:howls, alcohol:wine, alcohol:wine, desk:wood
ice:water, wig:hair, church:believers, table:wood, church:believers, ice:water
atmosphere:gas, flour:bread, plastic:polymer, capsule:medicine, flour:bread, plastic:polymer
evidence:case, garden:flowers, cocktail:alcohol, concrete:cement, evidence:case, concrete:cement
atmosphere:gas, flour:bread, yogurt:milk, wire:metal, flour:bread, wire:metal
flour:bread, wig:hair, desk:wood, food:meal, wig:hair, desk:wood
alcohol:wine, plastic:polymer, omelette:eggs, garden:flowers, garden:flowers, omelette:eggs
clothing:thread, glass:silicone, desk:wood, concrete:cement, glass:silicone, concrete:cement
roof:shingles, bread:flour, cacophony:howls, house:bricks, cacophony:howls, house:bricks
wall:plaster, meal:courses, wig:hair, church:believers, church:believers, wig:hair
sweater:wool, garden:flowers, box:cardboard, headstone:marble, garden:flowers, sweater:wool
cocktail:alcohol, flour:bread, glass:silicone, wall:plaster, flour:bread, cocktail:alcohol
table:wood, meal:courses, alcohol:wine, evidence:case, alcohol:wine, table:wood
omelette:eggs, wall:plaster, roof:shingles, food:meal, food:meal, omelette:eggs
parrot:bird, ocean:water, ice:water, wire:metal, parrot:bird, ice:water
cocktail:alcohol, boots:leather, bread:flour, sock:thread, cocktail:alcohol, bread:flour
ocean:water, carpet:fibers, concrete:cement, roof:shingles, concrete:cement, ocean:water
food:meal, box:cardboard, lawn:grass, wall:plaster, food:meal, box:cardboard
alcohol:wine, headstone:marble, parrot:bird, omelette:eggs, parrot:bird, omelette:eggs
bread:flour, wine:alcohol, wall:bricks, ice:water, wine:alcohol, wall:bricks
omelette:eggs, carpet:fibers, wire:metal, concrete:cement, concrete:cement, omelette:eggs
capsule:medicine, box:cardboard, carpet:fibers, ocean:water, capsule:medicine, ocean:water
capsule:medicine, case:evidence, carpet:fibers, headstone:marble, case:evidence, carpet:fibers
wall:bricks, roof:shingles, table:wood, meal:food, meal:food, wall:bricks
wall:bricks, plastic:polymer, wine:alcohol, parrot:bird, parrot:bird, wall:bricks
house:bricks, evidence:case, flour:bread, lawn:grass, evidence:case, house:bricks
lawn:grass, wig:hair, omelette:eggs, concrete:cement, concrete:cement, omelette:eggs
body:flesh, wire:metal, house:bricks, ice:water, ice:water, house:bricks
food:meal, wall:bricks, roof:shingles, box:cardboard, food:meal, wall:bricks
cacophony:howls, garden:flowers, meal:food, table:wood, cacophony:howls, table:wood
money:paper, table:wood, boots:leather, water:ocean, water:ocean, table:wood
wall:bricks, clothing:thread, sock:thread, headstone:marble, clothing:thread, wall:bricks
case:evidence, cocktail:alcohol, ocean:water, wig:hair, case:evidence, ocean:water
clothing:thread, case:evidence, flour:bread, cacophony:howls, flour:bread, clothing:thread
glass:silicone, water:ocean, garden:flowers, parrot:bird, parrot:bird, glass:silicone
cacophony:howls, meal:courses, carpet:fibers, glass:silicone, glass:silicone, carpet:fibers
