X and Y are contrary / opposite to each other
excited:bored, hot:cold, sleepy:energized, dirty:clean, sleepy:energized, hot:cold
bright:dark, hungry:satiated, accept:reject, bald:hairy, hungry:satiated, accept:reject
bored:excited, wise:foolish, fat:thin, dark:light, fat:thin, wise:foolish
rich:poor, pretty:ugly, dirty:clean, hungry:satiated, pretty:ugly, rich:poor
pretty:ugly, difficult:easy, love:apathy, fat:thin, love:apathy, difficult:easy
good:bad, fast:slow, bright:dark, wise:foolish, fast:slow, good:bad
salty:sweet, smart:stupid, tough:weak, bright:dark, smart:stupid, salty:sweet
good:bad, ugly:pretty, hungry:satiated, salty:sweet, hungry:satiated, good:bad
wise:foolish, hot:cold, chilly:warm, difficult:easy, chilly:warm, hot:cold
dirty:clean, hot:cold, fast:slow, excited:bored, excited:bored, dirty:clean
easy:difficult, ugly:pretty, fast:slow, tall:short, fast:slow, easy:difficult
accept:reject, easy:difficult, black:white, tough:weak, tough:weak, black:white
chilly:warm, bored:excited, good:bad, smart:stupid, chilly:warm, bored:excited
chilly:warm, big:small, wise:foolish, excited:bored, excited:bored, chilly:warm
hot:cold, dull:bright, hungry:satiated, beautiful:hideous, beautiful:hideous, hot:cold
difficult:easy, beautiful:hideous, tough:weak, excited:bored, excited:bored, difficult:easy
love:apathy, thin:fat, tall:short, salty:sweet, love:apathy, thin:fat
hungry:satiated, bored:excited, tough:weak, polished:tarnished, bored:excited, tough:weak
dirty:clean, bald:hairy, dull:bright, difficult:easy, bald:hairy, dirty:clean
chilly:warm, difficult:easy, dark:light, tall:short, tall:short, dark:light
ugly:pretty, tough:weak, thin:fat, excited:bored, excited:bored, ugly:pretty
chilly:warm, bored:excited, dark:light, smart:stupid, smart:stupid, dark:light
dirty:clean, bad:good, salty:sweet, good:bad, good:bad, dirty:clean
excited:bored, hairy:bald, accept:reject, ugly:pretty, hairy:bald, accept:reject
easy:difficult, beautiful:hideous, wise:foolish, short:tall, short:tall, wise:foolish
love:apathy, easy:difficult, warm:cool, hot:cold, love:apathy, hot:cold
bored:excited, thin:fat, polished:tarnished, pretty:ugly, thin:fat, bored:excited
rich:poor, smart:stupid, black:white, tough:weak, black:white, rich:poor
easy:difficult, good:bad, short:tall, hot:cold, short:tall, good:bad
dull:bright, fast:slow, chilly:warm, salty:sweet, salty:sweet, dull:bright
bored:excited, tall:short, beautiful:hideous, pretty:ugly, pretty:ugly, bored:excited
beautiful:hideous, polished:tarnished, accept:reject, wise:foolish, polished:tarnished, beautiful:hideous
dark:light, hot:cold, sleepy:energized, smart:stupid, smart:stupid, dark:light
love:apathy, accept:reject, big:small, rich:poor, love:apathy, big:small
pretty:ugly, hot:cold, accept:reject, bad:good, pretty:ugly, accept:reject
chilly:warm, tall:short, bald:hairy, salty:sweet, bald:hairy, tall:short
tough:weak, sleepy:energized, polished:tarnished, warm:cool, tough:weak, polished:tarnished
hot:cold, warm:cool, big:small, bright:dark, warm:cool, hot:cold
black:white, fast:slow, bright:dark, good:bad, good:bad, black:white
bad:good, warm:cool, tall:short, bald:hairy, warm:cool, bad:good
smart:stupid, pretty:ugly, warm:cool, love:apathy, warm:cool, smart:stupid
bad:good, difficult:easy, short:tall, easy:difficult, easy:difficult, bad:good
ugly:pretty, fat:thin, tough:weak, pretty:ugly, pretty:ugly, ugly:pretty
sleepy:energized, thin:fat, big:small, fat:thin, fat:thin, big:small
bright:dark, short:tall, hairy:bald, easy:difficult, short:tall, bright:dark
bad:good, black:white, big:small, dull:bright, big:small, black:white
dark:light, pretty:ugly, wise:foolish, polished:tarnished, polished:tarnished, dark:light
fast:slow, beautiful:hideous, ugly:pretty, bored:excited, ugly:pretty, beautiful:hideous
sleepy:energized, dirty:clean, bright:dark, bad:good, sleepy:energized, dirty:clean
fat:thin, sleepy:energized, dirty:clean, bored:excited, bored:excited, fat:thin
fast:slow, dull:bright, big:small, bad:good, dull:bright, fast:slow
short:tall, ugly:pretty, easy:difficult, bald:hairy, short:tall, easy:difficult
hairy:bald, polished:tarnished, difficult:easy, thin:fat, polished:tarnished, difficult:easy
sleepy:energized, polished:tarnished, big:small, thin:fat, polished:tarnished, big:small
beautiful:hideous, hairy:bald, hungry:satiated, dark:light, hairy:bald, dark:light
chilly:warm, black:white, excited:bored, warm:cool, black:white, excited:bored
dark:light, easy:difficult, beautiful:hideous, bored:excited, bored:excited, dark:light
bad:good, rich:poor, good:bad, accept:reject, good:bad, accept:reject
warm:cool, fat:thin, rich:poor, dull:bright, warm:cool, fat:thin
beautiful:hideous, bald:hairy, sleepy:energized, love:apathy, love:apathy, sleepy:energized
fast:slow, dirty:clean, love:apathy, salty:sweet, love:apathy, fast:slow
polished:tarnished, difficult:easy, hungry:satiated, salty:sweet, polished:tarnished, difficult:easy
big:small, thin:fat, rich:poor, fat:thin, fat:thin, rich:poor
bad:good, tall:short, difficult:easy, polished:tarnished, polished:tarnished, bad:good
tough:weak, black:white, wise:foolish, difficult:easy, difficult:easy, black:white
rich:poor, pretty:ugly, chilly:warm, polished:tarnished, polished:tarnished, rich:poor
warm:cool, ugly:pretty, bad:good, dull:bright, warm:cool, bad:good
warm:cool, big:small, dirty:clean, good:bad, good:bad, warm:cool
hungry:satiated, short:tall, sleepy:energized, dull:bright, short:tall, sleepy:energized
thin:fat, dull:bright, smart:stupid, warm:cool, warm:cool, thin:fat
hairy:bald, hungry:satiated, love:apathy, black:white, love:apathy, hairy:bald
thin:fat, fast:slow, hairy:bald, short:tall, fast:slow, thin:fat
fast:slow, sleepy:energized, fat:thin, tall:short, tall:short, fast:slow
dark:light, love:apathy, fat:thin, bright:dark, love:apathy, dark:light
fat:thin, easy:difficult, accept:reject, hairy:bald, hairy:bald, accept:reject
pretty:ugly, beautiful:hideous, chilly:warm, big:small, chilly:warm, beautiful:hideous
smart:stupid, salty:sweet, hairy:bald, bright:dark, salty:sweet, bright:dark
rich:poor, black:white, hairy:bald, wise:foolish, black:white, rich:poor
good:bad, short:tall, bald:hairy, ugly:pretty, short:tall, good:bad
bald:hairy, dark:light, smart:stupid, bright:dark, smart:stupid, dark:light
accept:reject, tall:short, good:bad, hot:cold, accept:reject, hot:cold
love:apathy, accept:reject, hungry:satiated, tall:short, love:apathy, accept:reject
wise:foolish, black:white, excited:bored, short:tall, excited:bored, black:white
tough:weak, bored:excited, wise:foolish, bald:hairy, tough:weak, wise:foolish
dirty:clean, bald:hairy, black:white, hairy:bald, black:white, dirty:clean
dark:light, smart:stupid, rich:poor, accept:reject, rich:poor, dark:light
short:tall, rich:poor, thin:fat, excited:bored, excited:bored, short:tall
excited:bored, dull:bright, ugly:pretty, salty:sweet, salty:sweet, excited:bored
