someone/something who is X cannot be Y or be in the state of Y
banal:original, deceptive:honest, elderly:youth, fracture:heal, fracture:heal, banal:original
old:young, sleepy:alertness, childish:mature, hungry:full, old:young, childish:mature
nice:mean, banal:original, old:youth, christian:atheist, banal:original, christian:atheist
freedom:hostage, impatient:tranquil, prison:release, sleepy:alertness, prison:release, impatient:tranquil
employed:jobless, irresponsible:maturity, happy:heartbroken, hungry:full, happy:heartbroken, employed:jobless
happy:heartbroken, afloat:submerged, craggy:smooth, christian:atheist, craggy:smooth, christian:atheist
dazed:attentive, full:empty, build:destroy, deceptive:honest, build:destroy, full:empty
withdrawn:sociable, alert:tired, christian:atheist, deceptive:honest, alert:tired, christian:atheist
build:destroy, employed:jobless, fat:skinny, poisonous:healthy, fat:skinny, build:destroy
young:old, birth:pregnant, deceptive:honest, old:youth, old:youth, birth:pregnant
afloat:submerged, sleepy:alertness, satiated:hunger, deceptive:honest, deceptive:honest, afloat:submerged
fat:skinny, kind:cruelty, childish:mature, invincible:defeated, kind:cruelty, invincible:defeated
fat:skinny, ecstatic:angry, cruel:kindness, banal:original, ecstatic:angry, fat:skinny
kind:cruelty, ecstatic:angry, craggy:smooth, sleepy:alertness, ecstatic:angry, sleepy:alertness
whole:broken, virginity:sex, healthy:poisonous, alert:tired, healthy:poisonous, virginity:sex
old:youth, craggy:smooth, whole:broken, happy:heartbroken, old:youth, happy:heartbroken
sleepy:alertness, weak:invincibility, hostage:freedom, desperate:satisfied, weak:invincibility, hostage:freedom
prison:release, young:old, freedom:hostage, weak:invincibility, weak:invincibility, prison:release
kind:cruelty, alert:tired, old:young, happy:heartbroken, alert:tired, old:young
impatient:tranquil, hostage:freedom, alert:tired, dazed:attentive, dazed:attentive, hostage:freedom
impatient:tranquil, pretty:ugly, build:destroy, attentive:dazed, build:destroy, impatient:tranquil
elderly:youth, satiated:hunger, healthy:poisonous, prison:release, healthy:poisonous, elderly:youth
happy:heartbroken, banal:original, old:youth, young:old, young:old, happy:heartbroken
prison:release, nice:mean, satiated:hunger, kind:cruelty, prison:release, satiated:hunger
deceased:alive, poisonous:healthy, satiated:hunger, dazed:attentive, poisonous:healthy, deceased:alive
desperate:satisfied, impatient:tranquil, healthy:poisonous, pretty:ugly, pretty:ugly, desperate:satisfied
elderly:youth, afloat:submerged, fracture:heal, invincible:defeated, elderly:youth, invincible:defeated
nice:mean, young:old, freedom:hostage, old:young, old:young, nice:mean
pretty:ugly, pregnant:birth, freedom:hostage, birth:pregnant, birth:pregnant, pregnant:birth
hostage:freedom, plump:thinness, whole:broken, craggy:smooth, plump:thinness, whole:broken
pregnant:birth, elderly:youth, happy:heartbroken, irresponsible:maturity, happy:heartbroken, elderly:youth
employed:jobless, attentive:dazed, plump:thinness, build:destroy, plump:thinness, employed:jobless
, plump:thinness, banal:original, satiated:hunger, birth:pregnant, banal:original, birth:pregnant
alert:tired, pregnant:birth, banal:original, ecstatic:angry, pregnant:birth, banal:original
afloat:submerged, withdrawn:sociable, weak:invincibility, irresponsible:maturity, withdrawn:sociable, weak:invincibility
young:old, virginity:sex, elderly:youth, withdrawn:sociable, withdrawn:sociable, virginity:sex
rich:poverty, christian:atheist, fat:skinny, childish:mature, fat:skinny, christian:atheist
kind:cruelty, birth:pregnant, deceptive:honest, childish:mature, birth:pregnant, kind:cruelty
birth:pregnant, employed:jobless, satiated:hunger, rich:poverty, birth:pregnant, rich:poverty
healthy:poisonous, old:youth, rich:poverty, afloat:submerged, healthy:poisonous, afloat:submerged
kind:cruelty, poisonous:healthy, freedom:hostage, impatient:tranquil, poisonous:healthy, freedom:hostage
virginity:sex, birth:pregnant, deceased:alive, full:empty, full:empty, deceased:alive
young:old, dazed:attentive, afloat:submerged, hostage:freedom, young:old, hostage:freedom
invincible:defeated, freedom:hostage, fracture:heal, kind:cruelty, kind:cruelty, invincible:defeated
alert:tired, irresponsible:maturity, nice:mean, withdrawn:sociable, nice:mean, alert:tired
alert:tired, weak:invincibility, old:young, desperate:satisfied, weak:invincibility, alert:tired
poisonous:healthy, elderly:youth, old:youth, plump:thinness, old:youth, poisonous:healthy
satiated:hunger, hungry:full, weak:invincibility, deceptive:honest, hungry:full, weak:invincibility
deceptive:honest, cruel:kindness, fat:skinny, old:youth, cruel:kindness, old:youth
attentive:dazed, rich:poverty, old:young, old:youth, old:youth, attentive:dazed
dazed:attentive, elderly:youth, employed:jobless, fat:skinny, fat:skinny, dazed:attentive
hostage:freedom, plump:thinness, whole:broken, pregnant:birth, pregnant:birth, whole:broken
healthy:poisonous, virginity:sex, happy:heartbroken, childish:mature, virginity:sex, childish:mature
attentive:dazed, healthy:poisonous, craggy:smooth, birth:pregnant, healthy:poisonous, birth:pregnant
employed:jobless, hostage:freedom, full:empty, banal:original, banal:original, full:empty
banal:original, build:destroy, poisonous:healthy, old:youth, build:destroy, old:youth
pretty:ugly, build:destroy, ecstatic:angry, withdrawn:sociable, build:destroy, withdrawn:sociable
fat:skinny, ecstatic:angry, nice:mean, rich:poverty, ecstatic:angry, fat:skinny
alert:tired, impatient:tranquil, virginity:sex, prison:release, impatient:tranquil, virginity:sex
full:empty, prison:release, invincible:defeated, weak:invincibility, prison:release, invincible:defeated
fat:skinny, christian:atheist, irresponsible:maturity, full:empty, christian:atheist, full:empty
freedom:hostage, pretty:ugly, hostage:freedom, impatient:tranquil, pretty:ugly, impatient:tranquil
weak:invincibility, whole:broken, prison:release, employed:jobless, employed:jobless, weak:invincibility
christian:atheist, weak:invincibility, afloat:submerged, kind:cruelty, weak:invincibility, afloat:submerged
satiated:hunger, freedom:hostage, fracture:heal, old:youth, freedom:hostage, satiated:hunger
whole:broken, full:empty, childish:mature, ecstatic:angry, whole:broken, full:empty
deceased:alive, prison:release, dazed:attentive, impatient:tranquil, prison:release, deceased:alive
virginity:sex, ecstatic:angry, pregnant:birth, rich:poverty, ecstatic:angry, virginity:sex
fracture:heal, young:old, employed:jobless, attentive:dazed, young:old, fracture:heal
freedom:hostage, healthy:poisonous, hungry:full, invincible:defeated, healthy:poisonous, invincible:defeated
satiated:hunger, pretty:ugly, withdrawn:sociable, poisonous:healthy, pretty:ugly, poisonous:healthy
plump:thinness, irresponsible:maturity, virginity:sex, fracture:heal, irresponsible:maturity, fracture:heal
poisonous:healthy, virginity:sex, birth:pregnant, weak:invincibility, poisonous:healthy, birth:pregnant
attentive:dazed, dazed:attentive, young:old, deceased:alive, dazed:attentive, deceased:alive
withdrawn:sociable, desperate:satisfied, irresponsible:maturity, rich:poverty, rich:poverty, withdrawn:sociable
healthy:poisonous, virginity:sex, fracture:heal, cruel:kindness, cruel:kindness, virginity:sex
build:destroy, nice:mean, fat:skinny, happy:heartbroken, fat:skinny, build:destroy
build:destroy, poisonous:healthy, pretty:ugly, plump:thinness, build:destroy, poisonous:healthy
kind:cruelty, afloat:submerged, irresponsible:maturity, desperate:satisfied, irresponsible:maturity, kind:cruelty
sleepy:alertness, nice:mean, plump:thinness, attentive:dazed, nice:mean, sleepy:alertness
old:young, sleepy:alertness, cruel:kindness, christian:atheist, old:young, christian:atheist
withdrawn:sociable, plump:thinness, cruel:kindness, deceased:alive, withdrawn:sociable, deceased:alive
invincible:defeated, pregnant:birth, virginity:sex, sleepy:alertness, pregnant:birth, invincible:defeated
healthy:poisonous, hungry:full, christian:atheist, pregnant:birth, pregnant:birth, christian:atheist
happy:heartbroken, hungry:full, banal:original, afloat:submerged, banal:original, afloat:submerged
attentive:dazed, irresponsible:maturity, hostage:freedom, weak:invincibility, attentive:dazed, hostage:freedom
childish:mature, sleepy:alertness, old:young, happy:heartbroken, sleepy:alertness, old:young
withdrawn:sociable, desperate:satisfied, impatient:tranquil, whole:broken, desperate:satisfied, withdrawn:sociable
old:young, withdrawn:sociable, christian:atheist, invincible:defeated, old:young, invincible:defeated
cruel:kindness, alert:tired, attentive:dazed, elderly:youth, attentive:dazed, elderly:youth
young:old, poisonous:healthy, whole:broken, desperate:satisfied, poisonous:healthy, young:old
ecstatic:angry, deceased:alive, hungry:full, invincible:defeated, ecstatic:angry, deceased:alive
craggy:smooth, childish:mature, desperate:satisfied, fat:skinny, fat:skinny, desperate:satisfied
rich:poverty, plump:thinness, deceased:alive, irresponsible:maturity, plump:thinness, deceased:alive
hungry:full, deceased:alive, pretty:ugly, prison:release, prison:release, deceased:alive
christian:atheist, childish:mature, desperate:satisfied, build:destroy, build:destroy, christian:atheist
deceptive:honest, craggy:smooth, fracture:heal, cruel:kindness, craggy:smooth, deceptive:honest
cruel:kindness, whole:broken, afloat:submerged, craggy:smooth, craggy:smooth, whole:broken
young:old, invincible:defeated, healthy:poisonous, nice:mean, healthy:poisonous, young:old
rich:poverty, employed:jobless, hungry:full, pregnant:birth, pregnant:birth, rich:poverty
build:destroy, whole:broken, sleepy:alertness, banal:original, build:destroy, banal:original
craggy:smooth, ecstatic:angry, impatient:tranquil, cruel:kindness, cruel:kindness, craggy:smooth
prison:release, dazed:attentive, rich:poverty, hostage:freedom, rich:poverty, prison:release
satiated:hunger, full:empty, pretty:ugly, happy:heartbroken, pretty:ugly, satiated:hunger
alert:tired, cruel:kindness, full:empty, pregnant:birth, pregnant:birth, full:empty
deceased:alive, elderly:youth, birth:pregnant, invincible:defeated, birth:pregnant, deceased:alive
birth:pregnant, ecstatic:angry, old:young, pregnant:birth, pregnant:birth, old:young
nice:mean, employed:jobless, desperate:satisfied, irresponsible:maturity, irresponsible:maturity, nice:mean
childish:mature, freedom:hostage, full:empty, deceptive:honest, freedom:hostage, full:empty
old:young, kind:cruelty, dazed:attentive, fracture:heal, kind:cruelty, old:young
elderly:youth, dazed:attentive, poisonous:healthy, attentive:dazed, attentive:dazed, elderly:youth
craggy:smooth, nice:mean, full:empty, pretty:ugly, pretty:ugly, craggy:smooth
hostage:freedom, fracture:heal, deceased:alive, hungry:full, fracture:heal, deceased:alive
