an Y receives an X
sickness:cough, medal:hero, speaker:stereo, tip:waitress, speaker:stereo, tip:waitress
sneaker:shoelace, check:employee, baby:bottle, waiter:tip, sneaker:shoelace, waiter:tip
criminal:cough, sickness certificate:teacher, waiter:tip, sentence:criminal, sickness certificate:teacher, sentence:criminal
criminal:gift, recipient:ribbon, winner:treatment, patient:patient, winner:treatment, recipient:ribbon
speeder:ticket, education:student, prescription:patient, degree:graduate, degree:graduate, prescription:patient
speaker:stereo, sneaker:shoelace, fastball:catcher, sentence:criminal, speaker:stereo, sentence:criminal
treatment:patient, degree:lawyer, degree:graduate, sneaker:shoelace, sneaker:shoelace, treatment:patient
tip:waiter, employee:check, speaker:stereo, drug:patient, employee:check, tip:waiter
religion:disciple, diploma:graduate, education:student, grant:scientist, diploma:graduate, grant:scientist
award:winner, fastball:catcher, sickness:cough, prescription:patient, sickness:cough, prescription:patient
tip:waitress, religion:disciple, ring:bride, treatment:patient, religion:disciple, tip:waitress
rocket:fuel, fastball:catcher, receipt:customer, award:winner, rocket:fuel, award:winner
partner:dancer, tip:waiter, education:student, sneaker:shoelace, sneaker:shoelace, education:student
prescription:patient, diploma:graduate, sickness:cough, rocket:fuel, rocket:fuel, prescription:patient
waiter:tip, ticket:speeder, payment:debtor, ribbon:winner, ticket:speeder, waiter:tip
diploma:student, ticket:speeder, gift:recipient, degree:lawyer, ticket:speeder, gift:recipient
employee:check, rocket:fuel, diploma:graduate, check:employee, rocket:fuel, employee:check
ribbon:winner, partner:dancer, employee:check, grant:scientist, partner:dancer, employee:check
rocket:fuel, ticket:speeder, treatment:patient, religion:disciple, ticket:speeder, treatment:patient
check:employee, waiter:tip, tip:waitress, ring:bride, tip:waitress, waiter:tip
certificate:teacher, ticket:speeder, partner:dancer, drug:patient, partner:dancer, ticket:speeder
partner:dancer, tip:waiter, payment:debtor, employee:check, payment:debtor, tip:waiter
payment:debtor, certificate:teacher, trophy:champion, ticket:speeder, payment:debtor, trophy:champion
bottle:baby, religion:disciple, medal:hero, receipt:customer, bottle:baby, medal:hero
sickness:cough, prescription:patient, fastball:catcher, cough:sickness, cough:sickness, prescription:patient
waitress:tip, parents:baby, winner:ribbon, winner:award, parents:baby, winner:award
check:employee, diploma:student, education:student, trophy:champion, check:employee, trophy:champion
receipt:customer, tip:waiter, trophy:champion, ring:bride, receipt:customer, trophy:champion
religion:disciple, ribbon:winner, trophy:champion, speaker:stereo, speaker:stereo, trophy:champion
sickness:cough, degree:lawyer, check:employee, gift:recipient, sickness:cough, gift:recipient
ring:bride, prescription:patient, diploma:graduate, degree:lawyer, degree:lawyer, prescription:patient
baby:parents, ticket:speeder, bottle:baby, drug:patient, ticket:speeder, baby:parents
speeder:ticket, degree:graduate, trophy:champion, baby:parents, baby:parents, trophy:champion
baby:bottle, speeder:ticket, sentence:criminal, fastball:catcher, sentence:criminal, baby:bottle
prescription:patient, partner:dancer, drug:patient, waiter:tip, partner:dancer, waiter:tip
ribbon:winner, diploma:graduate, speaker:stereo, tip:waiter, speaker:stereo, tip:waiter
employee:check, trophy:champion, donation:charity, speeder:ticket, trophy:champion, donation:charity
tip:waitress, sentence:criminal, check:employee, medal:hero, medal:hero, tip:waitress
