nod:agreement, friendliness:wink, frown:anger, tears:sadness, friendliness:wink, tears:sadness
crying:sadness, growl:danger, anger:slap, cough:sickness, anger:slap, cough:sickness
yell:anger, punch:hatred, sigh:exhaustion, discourse:relationship, discourse:relationship, yell:anger
handshake:cordiality, grimace:disgust, tears:sorrow, frown:anger, handshake:cordiality, grimace:disgust
yawn:boredom, nod:agreement, friendliness:wink, sigh:exhaustion, friendliness:wink, nod:agreement
kiss:love, wink:friendliness, frown:anger, exhaustion:sigh, exhaustion:sigh, kiss:love
scream:terror, kiss:passion, wave:acknowledgment, laughter:amusement, wave:acknowledgment, kiss:passion
crying:sadness, friendliness:wink, snarl:anger, cough:illness, friendliness:wink, snarl:anger
yawn:boredom, tear:sadness, frown:distaste, hilarity:laugh, hilarity:laugh, tear:sadness
tears:sadness, exhaustion:sigh, laugh:hilarity, discourse:relationship, discourse:relationship, tears:sadness
frown:discontent, hilarity:laugh, sorrow:tears, glare:anger, hilarity:laugh, frown:discontent
laugh:happiness, cough:sickness, tear:sadness, laughter:amusement, cough:sickness, laugh:happiness
discourse:relationship, cough:sickness, anger:slap, slap:anger, slap:anger, discourse:relationship
burp:gas, wave:acknowledgement, hilarity:laugh, nod:agreement, burp:gas, nod:agreement
groan:pain, hilarity:laugh, lie:dishonesty, laughter:amusement, lie:dishonesty, groan:pain
tears:sorrow, exhaustion:sigh, burp:gas, yawn:boredom, exhaustion:sigh, burp:gas
cough:sickness, laugh:amusement, growl:danger, punch:hatred, punch:hatred, cough:sickness
yawn:boredom, growl:danger, glare:anger, handshake:cordiality, yawn:boredom, handshake:cordiality
yell:anger, anger:slap, laugh:amusement, laugh:happiness, anger:slap, yell:anger
lie:dishonesty, wave:acknowledgment, glare:anger, frown:discontent, wave:acknowledgment, glare:anger
slap:anger, cough:sickness, frown:anger, hilarity:laugh, slap:anger, frown:anger
grimace:disgust, laugh:amusement, snarl:anger, frown:sadness, snarl:anger, laugh:amusement
wave:acknowledgement, tears:sorrow, groan:pain, wink:friendliness, wink:friendliness, groan:pain
punch:hatred, wave:acknowledgement, kiss:passion, sigh:exhaustion, punch:hatred, kiss:passion
frown:discontent, kiss:love, growl:danger, anger:slap, anger:slap, kiss:love
sigh:exhaustion, frown:discontent, laugh:amusement, lie:dishonesty, lie:dishonesty, sigh:exhaustion
crying:sadness, growl:danger, cough:sickness, frown:sadness, growl:danger, frown:sadness
sorrow:tears, laugh:happiness, wink:friendliness, anger:slap, anger:slap, wink:friendliness
scream:terror, kiss:passion, punch:hatred, friendliness:wink, friendliness:wink, punch:hatred
slap:anger, wave:acknowledgment, frown:sadness, lie:dishonesty, lie:dishonesty, slap:anger
laugh:amusement, growl:danger, frown:discontent, friendliness:wink, friendliness:wink, growl:danger
laugh:happiness, anger:slap, wink:friendliness, cough:illness, anger:slap, wink:friendliness
snarl:anger, crying:sadness, scream:terror, nod:agreement, nod:agreement, scream:terror
glare:anger, wave:acknowledgment, nod:agreement, kiss:passion, glare:anger, wave:acknowledgment
frown:distaste, sigh:exhaustion, lie:dishonesty, cough:illness, lie:dishonesty, cough:illness
hilarity:laugh, laugh:hilarity, anger:slap, frown:discontent, anger:slap, hilarity:laugh
tears:sadness, yawn:boredom, grimace:disgust, wink:friendliness, yawn:boredom, grimace:disgust
laugh:amusement, groan:pain, slap:anger, sigh:exhaustion, slap:anger, laugh:amusement
groan:pain, sorrow:tears, wave:acknowledgment, glare:anger, wave:acknowledgment, groan:pain
slap:anger, tear:sadness, tears:sorrow, crying:sadness, slap:anger, crying:sadness
cough:illness, wave:acknowledgment, frown:distaste, hilarity:laugh, hilarity:laugh, wave:acknowledgment
snarl:anger, crying:sadness, frown:discontent, tears:sorrow, frown:discontent, crying:sadness
slap:anger, frown:distaste, yell:anger, snarl:anger, frown:distaste, slap:anger
exhaustion:sigh, glare:anger, crying:sadness, tears:sadness, glare:anger, crying:sadness
tears:sorrow, friendliness:wink, punch:hatred, frown:sadness, friendliness:wink, tears:sorrow
grimace:disgust, sigh:exhaustion, burp:gas, yawn:boredom, burp:gas, yawn:boredom
punch:hatred, cough:illness, laugh:hilarity, wink:friendliness, wink:friendliness, cough:illness
tears:sadness, anger:slap, scream:terror, slap:anger, anger:slap, tears:sadness
anger:slap, handshake:cordiality, friendliness:wink, frown:sadness, anger:slap, handshake:cordiality
laugh:hilarity, tear:sadness, exhaustion:sigh, lie:dishonesty, exhaustion:sigh, lie:dishonesty
frown:sadness, glare:anger, frown:distaste, nod:agreement, frown:distaste, nod:agreement
wave:acknowledgment, crying:sadness, yell:anger, kiss:passion, crying:sadness, blueprint:building
laugh:amusement, groan:pain, frown:distaste, tears:sadness, groan:pain, laugh:amusement
yell:anger, discourse:relationship, frown:distaste, kiss:love, discourse:relationship, yell:anger
scream:terror, nod:agreement, burp:gas, frown:sadness, burp:gas, nod:agreement
growl:danger, handshake:cordiality, exhaustion:sigh, punch:hatred, punch:hatred, growl:danger
exhaustion:sigh, kiss:love, anger:slap, wave:acknowledgement, kiss:love, exhaustion:sigh
slap:anger, lie:dishonesty, handshake:cordiality, laugh:happiness, handshake:cordiality, slap:anger
yawn:boredom, handshake:cordiality, discourse:relationship, exhaustion:sigh, exhaustion:sigh, handshake:cordiality
burp:gas, grimace:disgust, nod:agreement, growl:danger, burp:gas, nod:agreement
tears:sorrow, handshake:cordiality, groan:pain, sorrow:tears, sorrow:tears, groan:pain
grimace:disgust, kiss:passion, kiss:love, groan:pain, kiss:love, grimace:disgust
glare:anger, slap:anger, friendliness:wink, exhaustion:sigh, friendliness:wink, slap:anger
cough:illness, slap:anger, kiss:love, scream:terror, slap:anger, kiss:love
laugh:happiness, tears:sorrow, laugh:amusement, burp:gas, burp:gas, laugh:happiness
tears:sorrow, yell:anger, tears:sadness, hilarity:laugh, hilarity:laugh, tears:sorrow
snarl:anger, burp:gas, tears:sadness, grimace:disgust, burp:gas, tears:sadness
frown:anger, tears:sadness, friendliness:wink, laughter:amusement, friendliness:wink, tears:sadness
growl:danger, laughter:amusement, frown:anger, frown:distaste, growl:danger, frown:anger
sorrow:tears, frown:sadness, frown:anger, snarl:anger, frown:anger, sorrow:tears
