bedding:sheet, instrument:piano, flower:daisy, internet:website, internet:website, bedding:sheet
father:family, appliance:refrigerator, tool:hammer, furniture:desk, father:family, tool:hammer
space:star, tool:hammer, internet:website, worker:librarian, worker:librarian, tool:hammer
drink:milk, literature:book, shoe:boot, fruit:apple, shoe:boot, fruit:apple
daisy:flower, art:sculpture, internet:website, cordless:phone, cordless:phone, daisy:flower
mineral:mica, shoe:boot, daisy:flower, fish:trout, daisy:flower, shoe:boot
dish:bowl, worker:librarian, book:novel, light:lamp, light:lamp, book:novel
refrigerator:appliance, family:father, bird:cardinal, cordless:phone, cordless:phone, bird:cardinal
mammal:gorilla, furniture:desk, cordless:phone, mineral:mica, cordless:phone, furniture:desk
art:sculpture, animal:raccoon, shoe:boot, appliance:refrigerator, animal:raccoon, shoe:boot
beverage:water, film:drama, literature:book, mammal:gorilla, film:drama, mammal:gorilla
daisy:flower, film:drama, beverage:water, meat:beef, film:drama, meat:beef
instrument:piano, book:novel, furniture:couch, fish:trout, book:novel, furniture:couch
beverage:water, art:sculpture, meal:dinner, drink:milk, art:sculpture, beverage:water
animal:raccoon, father:family, color:green, computer:laptop, father:family, animal:raccoon
internet:website, fruit:apple, mammal:gorilla, animal:raccoon, internet:website, fruit:apple
color:green, worker:librarian, internet:website, mammal:gorilla, worker:librarian, mammal:gorilla
appliance:refrigerator, fruit:apple, phone:cordless, internet:website, phone:cordless, fruit:apple
meat:beef, father:family, pet:cat, bird:cardinal, father:family, meat:beef
container:jug, phone:cordless, cordless:phone, herb:basil, cordless:phone, herb:basil
mineral:mica, computer:laptop, drink:milk, bird:cardinal, computer:laptop, bird:cardinal
seat:couch, light:lamp, worker:librarian, computer:laptop, worker:librarian, seat:couch
appliance:refrigerator, computer:laptop, phone:cordless, worker:librarian, worker:librarian, appliance:refrigerator
bird:cardinal, instrument:piano, phone:cordless, mammal:gorilla, phone:cordless, instrument:piano
dish:bowl, space:star, flower:daisy, fruit:apple, space:star, dish:bowl
herb:basil, pet:cat, furniture:desk, instrument:piano, furniture:desk, herb:basil
mica:mineral, seat:couch, furniture:desk, film:drama, film:drama, mica:mineral
meat:beef, meal:dinner, mineral:mica, computer:laptop, computer:laptop, meat:beef
internet:website, shoe:boot, mica:mineral, father:family, father:family, mica:mineral
instrument:piano, mineral:mica, meal:dinner, drink:milk, mineral:mica, meal:dinner
space:star, flower:daisy, book:novel, herb:basil, space:star, flower:daisy
flower:daisy, meal:dinner, herb:basil, daisy:flower, daisy:flower, meal:dinner
computer:laptop, flower:daisy, currency:dollar, bedding:sheet, computer:laptop, bedding:sheet
light:lamp, bedding:sheet, seat:couch, dish:bowl, seat:couch, bedding:sheet
furniture:chair, container:jug, meal:dinner, fish:trout, container:jug, furniture:chair
drink:milk, flower:daisy, space:star, shoe:boot, shoe:boot, flower:daisy
meal:dinner, space:star, literature:book, light:lamp, space:star, meal:dinner
cordless:phone, worker:librarian, currency:dollar, pet:cat, cordless:phone, currency:dollar
daisy:flower, film:drama, mica:mineral, container:jug, film:drama, daisy:flower
literature:book, refrigerator:appliance, meal:dinner, internet:website, refrigerator:appliance, literature:book
mammal:gorilla, pet:cat, film:drama, bedding:sheet, film:drama, mammal:gorilla
furniture:chair, mammal:gorilla, family:father, film:drama, film:drama, furniture:chair
meal:dinner, film:drama, meat:beef, beverage:water, film:drama, meat:beef
book:novel, father:family, literature:book, fruit:apple, father:family, fruit:apple
appliance:refrigerator, worker:librarian, phone:cordless, animal:raccoon, worker:librarian, appliance:refrigerator
refrigerator:appliance, family:father, phone:cordless, computer:laptop, phone:cordless, refrigerator:appliance
seat:couch, furniture:desk, meat:beef, meal:dinner, furniture:desk, meat:beef
space:star, father:family, furniture:chair, phone:cordless, father:family, furniture:chair
book:novel, furniture:desk, beverage:water, internet:website, furniture:desk, book:novel
bird:cardinal, mica:mineral, herb:basil, art:sculpture, art:sculpture, bird:cardinal
fish:trout, color:green, worker:librarian, herb:basil, color:green, worker:librarian
tool:hammer, furniture:couch, bedding:sheet, shoe:boot, shoe:boot, tool:hammer
space:star, bedding:sheet, meal:dinner, shoe:boot, space:star, bedding:sheet
dish:bowl, family:father, bird:cardinal, fish:trout, family:father, fish:trout
container:jug, daisy:flower, color:green, father:family, father:family, color:green
book:novel, phone:cordless, fish:trout, family:father, family:father, book:novel
dish:bowl, animal:raccoon, fruit:apple, refrigerator:appliance, refrigerator:appliance, dish:bowl
