bedroom:bed, computer:chip, dance:step, foot:toe, dance:step, computer:chip
hand:finger, motor:boat, flashlight:bulb, finger:hand, finger:hand, flashlight:bulb
egg:yolk, foot:toe, bouquet:flower, hand:finger, bouquet:flower, foot:toe
tastebuds:tongue, zebra:stripes, tree:branch, cat:whiskers, tree:branch, cat:whiskers
remote:buttons, toe:foot, recipe:ingredient, ear:lobes, recipe:ingredient, remote:buttons
freezer:ice, book:page, bouquet:flower, flashlight:bulb, bouquet:flower, book:page
egg:yolk, building:wall, house:room, movie:scene, building:wall, egg:yolk
building:wall, dance:step, dog:tail, tree:branch, dance:step, building:wall
bird:feathers, movie:scene, building:wall, bunch:grape, bird:feathers, building:wall
shoe:sole, eye:lashes, act:play, recipe:ingredient, act:play, shoe:sole
cat:whiskers, bird:feathers, toe:foot, finger:hand, toe:foot, cat:whiskers
book:page, house:room, zebra:stripes, book:spine, zebra:stripes, book:page
remote:buttons, zebra:stripes, dance:step, bookcase:shelf, zebra:stripes, bookcase:shelf
jeans:zipper, lips:mouth, fin:fish, tree:branch, tree:branch, jeans:zipper
bedroom:bed, lips:mouth, motor:boat, house:room, motor:boat, bedroom:bed
bunch:grape, motor:boat, fish:fin, dog:tail, motor:boat, bunch:grape
dog:tail, computer:mouse, toe:foot, dance:step, computer:mouse, dog:tail
book:page, building:wall, house:room, bottle:water, bottle:water, book:page
city:block, movie:scene, remote:buttons, building:floor, remote:buttons, movie:scene
freezer:ice, building:floor, bookcase:shelf, recipe:ingredient, building:floor, bookcase:shelf
bicycle:wheel, jeans:zipper, computer:chip, eye:lashes, jeans:zipper, bicycle:wheel
hand:finger, finger:hand, bird:wings, building:wall, finger:hand, building:wall
city:block, book:spine, house:room, lips:mouth, lips:mouth, city:block
ear:lobes, boat:motor, egg:yolk, building:floor, building:floor, ear:lobes
play:act, bicycle:wheel, act:play, boat:motor, act:play, bicycle:wheel
lips:mouth, eye:lashes, motor:boat, bird:wings, lips:mouth, motor:boat
city:block, house:room, act:play, eye:lashes, act:play, house:room
finger:hand, tastebuds:tongue, dance:step, dog:tail, dog:tail, finger:hand
lips:mouth, house:room, ear:lobes, boat:motor, ear:lobes, boat:motor
movie:scene, foot:toe, tastebuds:tongue, computer:chip, tastebuds:tongue, car:engine
freezer:ice, jeans:zipper, computer:mouse, fin:fish, jeans:zipper, computer:mouse
ear:lobes, remote:buttons, zebra:stripes, boat:motor, zebra:stripes, boat:motor
tastebuds:tongue, dog:tail, clock:hand, recipe:ingredient, dog:tail, tastebuds:tongue
toe:foot, motor:boat, bedroom:bed, freezer:ice, bedroom:bed, motor:boat
zebra:stripes, fin:fish, bouquet:flower, jeans:zipper, bouquet:flower, jeans:zipper
computer:mouse, recipe:ingredient, flashlight:bulb, building:floor, building:floor, recipe:ingredient
bunch:grape, bird:wings, motor:boat, fish:fin, motor:boat, bird:wings
fin:fish, dance:step, movie:scene, flashlight:bulb, dance:step, flashlight:bulb
act:play, book:spine, bicycle:wheel, bottle:water, bottle:water, act:play
ear:lobes, book:spine, movie:scene, act:play, act:play, ear:lobes
clock:hand, shoe:sole, building:floor, dance:step, dance:step, clock:hand
city:block, bicycle:wheel, bookcase:shelf, bottle:water, bottle:water, city:block
dance:step, jeans:zipper, boat:motor, eye:lashes, jeans:zipper, boat:motor
hand:finger, act:play, flashlight:bulb, bird:wings, act:play, hand:finger
clock:hand, freezer:ice, motor:boat, foot:toe, motor:boat, clock:hand
recipe:ingredient, tastebuds:tongue, computer:chip, bookcase:shelf, bookcase:shelf, recipe:ingredient
finger:hand, building:wall, bottle:water, bouquet:flower, building:wall, finger:hand
bird:feathers, clock:hand, fin:fish, recipe:ingredient, clock:hand, bird:feathers
computer:mouse, house:room, play:act, book:page, book:page, play:act
fin:fish, play:act, egg:yolk, tastebuds:tongue, play:act, fin:fish
egg:yolk, book:page, play:act, tree:branch, tree:branch, egg:yolk
bouquet:flower, tree:branch, ear:lobes, bird:feathers, tree:branch, bouquet:flower
lips:mouth, jeans:zipper, city:block, shoe:sole, city:block, shoe:sole
foot:toe, bunch:grape, play:act, ear:lobes, bunch:grape, foot:toe
tree:branch, cat:whiskers, bicycle:wheel, bottle:water, bottle:water, bicycle:wheel
flashlight:bulb, eye:lashes, house:room, bicycle:wheel, eye:lashes, house:room
computer:chip, eye:lashes, computer:mouse, bouquet:flower, computer:mouse, computer:chip
cat:whiskers, freezer:ice, lips:mouth, bird:feathers, lips:mouth, cat:whiskers
city:block, finger:hand, bicycle:wheel, bookcase:shelf, bicycle:wheel, bookcase:shelf
eye:lashes, bird:wings, building:wall, bird:feathers, building:wall, bird:wings
recipe:ingredient, building:wall, zebra:stripes, finger:hand, finger:hand, recipe:ingredient
hand:finger, clock:hand, computer:mouse, remote:buttons, computer:mouse, hand:finger
clock:hand, shoe:sole, finger:hand, lips:mouth, clock:hand, finger:hand
tree:branch, fish:fin, foot:toe, bird:feathers, bird:feathers, car:engine
computer:chip, egg:yolk, book:spine, dog:tail, dog:tail, computer:chip
city:block, play:act, fish:fin, remote:buttons, fish:fin, play:act
toe:foot, bookcase:shelf, fish:fin, boat:motor, bookcase:shelf, car:engine
bedroom:bed, house:room, bunch:grape, recipe:ingredient, bunch:grape, bedroom:bed
book:page, fin:fish, bookcase:shelf, play:act, fin:fish, play:act
city:block, bouquet:flower, boat:motor, building:floor, building:floor, boat:motor
bedroom:bed, toe:foot, bird:wings, tastebuds:tongue, bedroom:bed, bird:wings
finger:hand, bedroom:bed, bird:feathers, book:page, bedroom:bed, book:page
book:page, clock:hand, flashlight:bulb, bouquet:flower, clock:hand, book:page
cat:whiskers, eye:lashes, toe:foot, city:block, city:block, cat:whiskers
computer:chip, book:spine, cat:whiskers, freezer:ice, freezer:ice, computer:chip
jeans:zipper, tree:branch, bird:wings, bird:feathers, bird:feathers, car:engine
book:spine, dance:step, eye:lashes, dog:tail, dance:step, book:spine
bird:wings, flashlight:bulb, shoe:sole, jeans:zipper, jeans:zipper, flashlight:bulb
book:page, dog:tail, tastebuds:tongue, remote:buttons, dog:tail, book:page
play:act, bedroom:bed, act:play, fin:fish, act:play, bedroom:bed
