excited:bored, hot:cold, sleepy:energized, dirty:clean, hot:cold, sleepy:energized
bright:dark, hungry:satiated, accept:reject, bald:hairy, hungry:satiated, accept:reject
bored:excited, wise:foolish, fat:thin, dark:light, wise:foolish, dark:light
rich:poor, pretty:ugly, dirty:clean, hungry:satiated, pretty:ugly, rich:poor
pretty:ugly, difficult:easy, love:apathy, fat:thin, love:apathy, difficult:easy
good:bad, fast:slow, bright:dark, wise:foolish, fast:slow, good:bad
salty:sweet, smart:stupid, tough:weak, bright:dark, bright:dark, salty:sweet
good:bad, ugly:pretty, hungry:satiated, salty:sweet, salty:sweet, good:bad
wise:foolish, hot:cold, chilly:warm, difficult:easy, hot:cold, wise:foolish
dirty:clean, hot:cold, fast:slow, excited:bored, excited:bored, dirty:clean
easy:difficult, ugly:pretty, fast:slow, tall:short, tall:short, easy:difficult
accept:reject, easy:difficult, black:white, tough:weak, black:white, easy:difficult
chilly:warm, bored:excited, good:bad, smart:stupid, smart:stupid, chilly:warm
chilly:warm, big:small, wise:foolish, excited:bored, wise:foolish, excited:bored
hot:cold, dull:bright, hungry:satiated, beautiful:hideous, beautiful:hideous, hot:cold
difficult:easy, beautiful:hideous, tough:weak, excited:bored, beautiful:hideous, difficult:easy
love:apathy, thin:fat, tall:short, salty:sweet, love:apathy, thin:fat
hungry:satiated, bored:excited, tough:weak, polished:tarnished, polished:tarnished, hungry:satiated
dirty:clean, bald:hairy, dull:bright, difficult:easy, difficult:easy, bald:hairy
chilly:warm, difficult:easy, dark:light, tall:short, tall:short, dark:light
ugly:pretty, tough:weak, thin:fat, excited:bored, tough:weak, excited:bored
chilly:warm, bored:excited, dark:light, smart:stupid, smart:stupid, chilly:warm
dirty:clean, bad:good, salty:sweet, good:bad, good:bad, salty:sweet
excited:bored, hairy:bald, accept:reject, ugly:pretty, hairy:bald, accept:reject
easy:difficult, beautiful:hideous, wise:foolish, short:tall, wise:foolish, easy:difficult
love:apathy, easy:difficult, warm:cool, hot:cold, love:apathy, hot:cold
bored:excited, thin:fat, polished:tarnished, pretty:ugly, thin:fat, bored:excited
rich:poor, smart:stupid, black:white, tough:weak, black:white, rich:poor
easy:difficult, good:bad, short:tall, hot:cold, short:tall, easy:difficult
dull:bright, fast:slow, chilly:warm, salty:sweet, fast:slow, dull:bright
bored:excited, tall:short, beautiful:hideous, pretty:ugly, beautiful:hideous, tall:short
beautiful:hideous, polished:tarnished, accept:reject, wise:foolish, polished:tarnished, beautiful:hideous
dark:light, hot:cold, sleepy:energized, smart:stupid, smart:stupid, dark:light
love:apathy, accept:reject, big:small, rich:poor, love:apathy, accept:reject
pretty:ugly, hot:cold, accept:reject, bad:good, hot:cold, pretty:ugly
chilly:warm, tall:short, bald:hairy, salty:sweet, salty:sweet, tall:short
tough:weak, sleepy:energized, polished:tarnished, warm:cool, polished:tarnished, tough:weak
hot:cold, warm:cool, big:small, bright:dark, warm:cool, hot:cold
black:white, fast:slow, bright:dark, good:bad, good:bad, black:white
bad:good, warm:cool, tall:short, bald:hairy, warm:cool, bad:good
smart:stupid, pretty:ugly, warm:cool, love:apathy, love:apathy, smart:stupid
bad:good, difficult:easy, short:tall, easy:difficult, easy:difficult, short:tall
ugly:pretty, fat:thin, tough:weak, pretty:ugly, pretty:ugly, ugly:pretty
sleepy:energized, thin:fat, big:small, fat:thin, fat:thin, sleepy:energized
bright:dark, short:tall, hairy:bald, easy:difficult, hairy:bald, bright:dark
bad:good, black:white, big:small, dull:bright, black:white, bad:good
dark:light, pretty:ugly, wise:foolish, polished:tarnished, polished:tarnished, dark:light
fast:slow, beautiful:hideous, ugly:pretty, bored:excited, bored:excited, fast:slow
sleepy:energized, dirty:clean, bright:dark, bad:good, bad:good, dirty:clean
fat:thin, sleepy:energized, dirty:clean, bored:excited, bored:excited, fat:thin
fast:slow, dull:bright, big:small, bad:good, dull:bright, fast:slow
short:tall, ugly:pretty, easy:difficult, bald:hairy, easy:difficult, short:tall
hairy:bald, polished:tarnished, difficult:easy, thin:fat, polished:tarnished, difficult:easy
sleepy:energized, polished:tarnished, big:small, thin:fat, polished:tarnished, sleepy:energized
beautiful:hideous, hairy:bald, hungry:satiated, dark:light, hairy:bald, dark:light
chilly:warm, black:white, excited:bored, warm:cool, warm:cool, black:white
dark:light, easy:difficult, beautiful:hideous, bored:excited, beautiful:hideous, dark:light
bad:good, rich:poor, good:bad, accept:reject, accept:reject, bad:good
warm:cool, fat:thin, rich:poor, dull:bright, fat:thin, dull:bright
beautiful:hideous, bald:hairy, sleepy:energized, love:apathy, love:apathy, bald:hairy
fast:slow, dirty:clean, love:apathy, salty:sweet, love:apathy, fast:slow
polished:tarnished, difficult:easy, hungry:satiated, salty:sweet, polished:tarnished, difficult:easy
big:small, thin:fat, rich:poor, fat:thin, fat:thin, big:small
bad:good, tall:short, difficult:easy, polished:tarnished, polished:tarnished, bad:good
tough:weak, black:white, wise:foolish, difficult:easy, tough:weak, black:white
rich:poor, pretty:ugly, chilly:warm, polished:tarnished, polished:tarnished, rich:poor
warm:cool, ugly:pretty, bad:good, dull:bright, dull:bright, warm:cool
warm:cool, big:small, dirty:clean, good:bad, good:bad, dirty:clean
hungry:satiated, short:tall, sleepy:energized, dull:bright, dull:bright, sleepy:energized
thin:fat, dull:bright, smart:stupid, warm:cool, warm:cool, thin:fat
hairy:bald, hungry:satiated, love:apathy, black:white, love:apathy, black:white
thin:fat, fast:slow, hairy:bald, short:tall, hairy:bald, short:tall
fast:slow, sleepy:energized, fat:thin, tall:short, tall:short, fast:slow
dark:light, love:apathy, fat:thin, bright:dark, love:apathy, dark:light
fat:thin, easy:difficult, accept:reject, hairy:bald, hairy:bald, accept:reject
pretty:ugly, beautiful:hideous, chilly:warm, big:small, big:small, pretty:ugly
smart:stupid, salty:sweet, hairy:bald, bright:dark, hairy:bald, bright:dark
rich:poor, black:white, hairy:bald, wise:foolish, black:white, wise:foolish
good:bad, short:tall, bald:hairy, ugly:pretty, short:tall, good:bad
bald:hairy, dark:light, smart:stupid, bright:dark, smart:stupid, bald:hairy
accept:reject, tall:short, good:bad, hot:cold, good:bad, hot:cold
love:apathy, accept:reject, hungry:satiated, tall:short, love:apathy, accept:reject
wise:foolish, black:white, excited:bored, short:tall, black:white, wise:foolish
tough:weak, bored:excited, wise:foolish, bald:hairy, bald:hairy, wise:foolish
dirty:clean, bald:hairy, black:white, hairy:bald, hairy:bald, dirty:clean
dark:light, smart:stupid, rich:poor, accept:reject, accept:reject, dark:light
short:tall, rich:poor, thin:fat, excited:bored, excited:bored, short:tall
excited:bored, dull:bright, ugly:pretty, salty:sweet, salty:sweet, excited:bored
