high:low, around:through, under:over, root:tip, around:through, high:low
ahead:behind, in:out, tip:root, interior:exterior, tip:root, ahead:behind
around:through, backward:forward, north:south, interior:exterior, around:through, north:south
high:low, above:below, backward:forward, stop:go, stop:go, above:below
top:bottom, boring:interesting, sad:happy, interior:exterior, boring:interesting, top:bottom
up:down, sad:happy, happy:sad, sharp:dull, happy:sad, up:down
happy:sad, start:finish, go:come, forward:backward, happy:sad, forward:backward
interior:exterior, below:above, dirty:clean, clean:dirty, clean:dirty, interior:exterior
sad:happy, high:low, ahead:behind, sharp:dull, sharp:dull, ahead:behind
climb:descend, above:below, backward:forward, boring:interesting, boring:interesting, climb:descend
forward:backward, interior:exterior, up:down, previously:subsequently, up:down, forward:backward
root:tip, sharp:dull, sink:rise, port:starboard, sharp:dull, port:starboard
up:down, root:tip, around:through, start:finish, around:through, up:down
clean:dirty, sink:rise, root:tip, north:south, clean:dirty, north:south
under:over, sharp:dull, climb:descend, in:out, sharp:dull, under:over
boring:interesting, climb:descend, sharp:dull, below:above, sharp:dull, below:above
below:above, root:tip, sad:happy, port:starboard, sad:happy, below:above
go:come, under:over, in:out, ahead:behind, under:over, ahead:behind
happy:sad, forward:backward, under:over, top:bottom, happy:sad, forward:backward
happy:sad, climb:descend, up:down, below:above, happy:sad, up:down
root:tip, happy:sad, tip:root, clean:dirty, happy:sad, root:tip
port:starboard, stop:go, dirty:clean, north:south, stop:go, port:starboard
under:over, tip:root, clean:dirty, below:above, clean:dirty, below:above
backward:forward, port:starboard, in:out, high:low, high:low, port:starboard
north:south, start:finish, port:starboard, go:come, go:come, north:south
backward:forward, up:down, tip:root, out:in, tip:root, backward:forward
out:in, up:down, ahead:behind, sad:happy, sad:happy, ahead:behind
previously:subsequently, forward:backward, out:in, stop:go, stop:go, forward:backward
interior:exterior, in:out, up:down, clean:dirty, clean:dirty, up:down
forward:backward, top:bottom, sharp:dull, in:out, sharp:dull, forward:backward
previously:subsequently, climb:descend, tip:root, top:bottom, climb:descend, top:bottom
root:tip, sad:happy, stop:go, under:over, sad:happy, stop:go
port:starboard, go:come, clean:dirty, sharp:dull, clean:dirty, port:starboard
start:finish, below:above, dirty:clean, sad:happy, dirty:clean, start:finish
forward:backward, above:below, ahead:behind, high:low, high:low, forward:backward
interior:exterior, sink:rise, above:below, start:finish, sink:rise, start:finish
under:over, ahead:behind, port:starboard, out:in, port:starboard, under:over
forward:backward, in:out, tip:root, dirty:clean, dirty:clean, forward:backward
high:low, around:through, below:above, start:finish, around:through, high:low
boring:interesting, root:tip, climb:descend, rise:sink, boring:interesting, rise:sink
happy:sad, interior:exterior, go:come, stop:go, stop:go, interior:exterior
rise:sink, stop:go, happy:sad, ahead:behind, happy:sad, stop:go
previously:subsequently, below:above, dirty:clean, sad:happy, dirty:clean, previously:subsequently
high:low, port:starboard, dirty:clean, forward:backward, dirty:clean, forward:backward
rise:sink, stop:go, sink:rise, clean:dirty, clean:dirty, rise:sink
climb:descend, backward:forward, previously:subsequently, boring:interesting, boring:interesting, climb:descend
ahead:behind, clean:dirty, around:through, rise:sink, clean:dirty, ahead:behind
previously:subsequently, dirty:clean, around:through, tip:root, dirty:clean, previously:subsequently
top:bottom, above:below, below:above, go:come, go:come, top:bottom
previously:subsequently, go:come, around:through, forward:backward, go:come, forward:backward
top:bottom, around:through, port:starboard, rise:sink, around:through, top:bottom
under:over, backward:forward, start:finish, boring:interesting, boring:interesting, under:over
sink:rise, stop:go, high:low, out:in, high:low, out:in
sink:rise, root:tip, top:bottom, happy:sad, happy:sad, root:tip
interior:exterior, sink:rise, around:through, top:bottom, sink:rise, top:bottom
north:south, dirty:clean, boring:interesting, sharp:dull, boring:interesting, north:south
tip:root, sink:rise, start:finish, under:over, sink:rise, start:finish
start:finish, happy:sad, rise:sink, out:in, happy:sad, start:finish
previously:subsequently, root:tip, climb:descend, stop:go, stop:go, climb:descend
go:come, forward:backward, rise:sink, sad:happy, sad:happy, go:come
under:over, previously:subsequently, rise:sink, go:come, go:come, under:over
sharp:dull, sink:rise, interior:exterior, top:bottom, sharp:dull, top:bottom
sink:rise, up:down, out:in, above:below, sink:rise, out:in
dirty:clean, tip:root, above:below, out:in, tip:root, out:in
boring:interesting, north:south, above:below, rise:sink, boring:interesting, north:south
ahead:behind, boring:interesting, backward:forward, north:south, boring:interesting, north:south
ahead:behind, sharp:dull, out:in, backward:forward, sharp:dull, ahead:behind
start:finish, previously:subsequently, north:south, above:below, above:below, start:finish
above:below, around:through, tip:root, north:south, tip:root, north:south
top:bottom, sad:happy, north:south, high:low, sad:happy, north:south
in:out, up:down, clean:dirty, climb:descend, clean:dirty, up:down
stop:go, below:above, boring:interesting, climb:descend, boring:interesting, stop:go
dirty:clean, clean:dirty, backward:forward, high:low, high:low, backward:forward
go:come, rise:sink, in:out, out:in, rise:sink, in:out
in:out, port:starboard, happy:sad, up:down, happy:sad, in:out
