banal:original, deceptive:honest, elderly:youth, fracture:heal, fracture:heal, banal:original
old:young, sleepy:alertness, childish:mature, hungry:full, hungry:full, childish:mature
nice:mean, banal:original, old:youth, christian:atheist, banal:original, christian:atheist
freedom:hostage, impatient:tranquil, prison:release, sleepy:alertness, impatient:tranquil, prison:release
employed:jobless, irresponsible:maturity, happy:heartbroken, hungry:full, hungry:full, irresponsible:maturity
happy:heartbroken, afloat:submerged, craggy:smooth, christian:atheist, christian:atheist, afloat:submerged
dazed:attentive, full:empty, build:destroy, deceptive:honest, full:empty, build:destroy
withdrawn:sociable, alert:tired, christian:atheist, deceptive:honest, alert:tired, deceptive:honest
build:destroy, employed:jobless, fat:skinny, poisonous:healthy, fat:skinny, employed:jobless
young:old, birth:pregnant, deceptive:honest, old:youth, birth:pregnant, young:old
afloat:submerged, sleepy:alertness, satiated:hunger, deceptive:honest, sleepy:alertness, deceptive:honest
fat:skinny, kind:cruelty, childish:mature, invincible:defeated, kind:cruelty, invincible:defeated
fat:skinny, ecstatic:angry, cruel:kindness, banal:original, cruel:kindness, banal:original
kind:cruelty, ecstatic:angry, craggy:smooth, sleepy:alertness, ecstatic:angry, kind:cruelty
whole:broken, virginity:sex, healthy:poisonous, alert:tired, alert:tired, whole:broken
old:youth, craggy:smooth, whole:broken, happy:heartbroken, happy:heartbroken, whole:broken
sleepy:alertness, weak:invincibility, hostage:freedom, desperate:satisfied, desperate:satisfied, hostage:freedom
prison:release, young:old, freedom:hostage, weak:invincibility, freedom:hostage, prison:release
kind:cruelty, alert:tired, old:young, happy:heartbroken, happy:heartbroken, old:young
impatient:tranquil, hostage:freedom, alert:tired, dazed:attentive, hostage:freedom, alert:tired
impatient:tranquil, pretty:ugly, build:destroy, attentive:dazed, pretty:ugly, build:destroy
elderly:youth, satiated:hunger, healthy:poisonous, prison:release, healthy:poisonous, prison:release
happy:heartbroken, banal:original, old:youth, young:old, young:old, banal:original
prison:release, nice:mean, satiated:hunger, kind:cruelty, nice:mean, satiated:hunger
deceased:alive, poisonous:healthy, satiated:hunger, dazed:attentive, deceased:alive, satiated:hunger
desperate:satisfied, impatient:tranquil, healthy:poisonous, pretty:ugly, healthy:poisonous, desperate:satisfied
elderly:youth, afloat:submerged, fracture:heal, invincible:defeated, elderly:youth, invincible:defeated
nice:mean, young:old, freedom:hostage, old:young, old:young, freedom:hostage
pretty:ugly, pregnant:birth, freedom:hostage, birth:pregnant, birth:pregnant, pretty:ugly
hostage:freedom, plump:thinness, whole:broken, craggy:smooth, craggy:smooth, hostage:freedom
pregnant:birth, elderly:youth, happy:heartbroken, irresponsible:maturity, happy:heartbroken, pregnant:birth
employed:jobless, attentive:dazed, plump:thinness, build:destroy, attentive:dazed, build:destroy
plump:thinness, banal:original, satiated:hunger, birth:pregnant, birth:pregnant, banal:original
alert:tired, pregnant:birth, banal:original, ecstatic:angry, alert:tired, pregnant:birth
afloat:submerged, withdrawn:sociable, weak:invincibility, irresponsible:maturity, weak:invincibility, afloat:submerged
young:old, virginity:sex, elderly:youth, withdrawn:sociable, withdrawn:sociable, virginity:sex
rich:poverty, christian:atheist, fat:skinny, childish:mature, fat:skinny, immortal:death
kind:cruelty, birth:pregnant, deceptive:honest, childish:mature, birth:pregnant, deceptive:honest
birth:pregnant, employed:jobless, satiated:hunger, rich:poverty, birth:pregnant, rich:poverty
healthy:poisonous, old:youth, rich:poverty, afloat:submerged, afloat:submerged, old:youth
kind:cruelty, poisonous:healthy, freedom:hostage, impatient:tranquil, impatient:tranquil, poisonous:healthy
virginity:sex, birth:pregnant, deceased:alive, full:empty, birth:pregnant, virginity:sex
young:old, dazed:attentive, afloat:submerged, hostage:freedom, young:old, hostage:freedom
invincible:defeated, freedom:hostage, fracture:heal, kind:cruelty, kind:cruelty, invincible:defeated
alert:tired, irresponsible:maturity, nice:mean, withdrawn:sociable, alert:tired, withdrawn:sociable
alert:tired, weak:invincibility, old:young, desperate:satisfied, alert:tired, weak:invincibility
poisonous:healthy, elderly:youth, old:youth, plump:thinness, old:youth, poisonous:healthy
satiated:hunger, hungry:full, weak:invincibility, deceptive:honest, hungry:full, satiated:hunger
deceptive:honest, cruel:kindness, fat:skinny, old:youth, fat:skinny, old:youth
attentive:dazed, rich:poverty, old:young, old:youth, rich:poverty, attentive:dazed
dazed:attentive, elderly:youth, employed:jobless, fat:skinny, employed:jobless, dazed:attentive
hostage:freedom, plump:thinness, whole:broken, pregnant:birth, pregnant:birth, whole:broken
healthy:poisonous, virginity:sex, happy:heartbroken, childish:mature, healthy:poisonous, virginity:sex
attentive:dazed, healthy:poisonous, craggy:smooth, birth:pregnant, birth:pregnant, attentive:dazed
employed:jobless, hostage:freedom, full:empty, banal:original, full:empty, banal:original
banal:original, build:destroy, poisonous:healthy, old:youth, build:destroy, banal:original
pretty:ugly, build:destroy, ecstatic:angry, withdrawn:sociable, ecstatic:angry, build:destroy
fat:skinny, ecstatic:angry, nice:mean, rich:poverty, ecstatic:angry, fat:skinny
alert:tired, impatient:tranquil, virginity:sex, prison:release, alert:tired, virginity:sex
full:empty, prison:release, invincible:defeated, weak:invincibility, weak:invincibility, invincible:defeated
fat:skinny, christian:atheist, irresponsible:maturity, full:empty, christian:atheist, fat:skinny
freedom:hostage, pretty:ugly, hostage:freedom, impatient:tranquil, impatient:tranquil, freedom:hostage
